,no rank,superkingdom,order,family,genus,species,subfamily,phylum,subphylum,class
BeeP-11-2013_NODE_3204_length_915_cov_6_068019,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_321_length_3744_cov_8_742569,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Alber virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3248_length_908_cov_5_292419,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Maize associated partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3423_length_887_cov_9_585185,RNA viruses,Vira,Unclassified,Unclassified,Sinaivirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3488_length_877_cov_3_583750,Dysaphis plantaginea densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Hemipteran ambidensovirus 2,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3666_length_849_cov_3_777202,unclassified Iflavirus,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3861_length_825_cov_2_816845,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3901_length_821_cov_3_315860,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,La Jolla virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_3939_length_817_cov_1_429730,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuhan insect virus 33,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4076_length_803_cov_2_691460,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,La Jolla virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4315_length_779_cov_1_178063,unclassified Iflavirus,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4340_length_777_cov_2_018571,unclassified Iflavirus,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Xysticus cristatus iflavirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4533_length_758_cov_3_279001,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4640_length_749_cov_2_720238,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei tombus-like virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4715_length_743_cov_3_522523,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,Unclassified,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_4990_length_720_cov_4_981337,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,La Jolla virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5038_length_718_cov_2_828393,unclassified Iflavirus,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Moku virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5181_length_709_cov_0_892405,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Grapevine cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5197_length_707_cov_3_755556,Faeces associated gemycircularvirus 18,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Equine associated gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5347_length_697_cov_1_816129,unclassified Iflaviridae,Vira,Picornavirales,Iflaviridae,Unclassified,La Jolla virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5394_length_694_cov_1_802269,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Erysiphe necator partitivirus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5545_length_684_cov_2_950577,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5598_length_681_cov_1_832781,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_564_length_2591_cov_7_200875,RNA viruses,Vira,Picornavirales,Dicistroviridae,Triatovirus,Black queen cell virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5675_length_676_cov_1_839733,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Wuhan spider virus 5,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_577_length_2545_cov_2_747569,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5851_length_665_cov_3_491497,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Macrobrachium rosenbergii dicistrovirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_5968_length_659_cov_0_982818,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_6064_length_653_cov_0_993056,unclassified virus,Vira,Unclassified,Unclassified,Unclassified,Circular genetic element sp.,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_6249_length_641_cov_4_271277,Marine RNA virus SF-1,Vira,Picornavirales,Marnaviridae,Locarnavirus,Sanfarnavirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_6379_length_635_cov_1_745520,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_6414_length_633_cov_1_994604,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei tombus-like virus 40,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_643_length_2367_cov_19_417904,Faecal-associated gemycircularvirus 4,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Fur seal associated gemycircularvirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_6550_length_627_cov_2_165455,RNA viruses,Vira,Mononegavirales,Rhabdoviridae,Almendravirus,Arboretum almendravirus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-11-2013_NODE_6764_length_617_cov_2_672222,unclassified Picobirnaviridae,Vira,Unclassified,Picobirnaviridae,Unclassified,Lysoka partiti-like virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_6911_length_610_cov_3_521576,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Ubei picorna-like virus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_703_length_2235_cov_15_856348,unclassified Gemycircularvirus,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Giant panda associated gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7250_length_597_cov_1_471154,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Sanxia tombus-like virus 9,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7367_length_592_cov_2_467961,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7410_length_591_cov_1_791829,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Darwin bee virus 6,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7783_length_578_cov_2_886228,unclassified Gemycircularvirus,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Momordica charantia associated gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7890_length_575_cov_1_889558,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7978_length_572_cov_3_371717,environmental samples,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_7995_length_572_cov_1_842424,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured marine virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_8095_length_569_cov_1_463415,RNA viruses,Vira,Unclassified,Virgaviridae,Tobamoviridae,TMV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_811_length_2061_cov_7_342238,Faecal-associated gemycircularvirus 11,Vira,Unclassified,Genomoviridae,Gemykroznavirus,Rabbit associated gemykroznavirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_8580_length_553_cov_2_264706,Sclerotinia sclerotiorum deltaflexivirus 1,Vira,Tymovirales,Deltaflexiviridae,Deltaflexivirus,Sclerotinia deltaflexivirus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_8802_length_547_cov_1_663830,Trichoplusia ni cypovirus,Vira,Unclassified,Reoviridae,CPV,Cypovirus 15,Spinareovirinae,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_8879_length_545_cov_1_587607,unclassified Cyclovirus,Vira,Unclassified,Circoviridae,Cyclovirus,Pacific flying fox faeces associated gemycircularvirus-8,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_89_length_9828_cov_350_101733,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 58,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_907_length_1923_cov_7_401408,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Beet cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_9139_length_537_cov_3_132609,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Podosphaera prunicola partitivirus 3,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_9182_length_536_cov_2_603486,all,Vira,Unclassified,Genomoviridae,Gemycircularvirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_9441_length_530_cov_1_152318,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_946_length_1876_cov_4_496943,dsDNA viruses,Vira,Unclassified,Unclassified,Unclassified,Apis mellifera filamentous virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_9570_length_527_cov_1_420000,unclassified Iflavirus,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_9693_length_524_cov_2_366890,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Changjiang tombus-like virus 22,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_9779_length_522_cov_1_822472,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Grapevine cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-11-2013_NODE_981_length_1833_cov_4_480638,unclassified Reoviridae,Vira,Unclassified,Reoviridae,Unclassified,Lutzomyia reovirus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-12-2013_NODE_37_length_716_cov_0_852895,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Red clover varicosavirus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-12-2013_NODE_44_length_670_cov_1_612142,RNA viruses,Vira,Picornavirales,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-12-2013_NODE_54_length_609_cov_3_971805,unclassified Dicistroviridae,Vira,Picornavirales,Dicistroviridae,Unclassified,Goose dicistrovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-13-2013_NODE_13_length_1491_cov_7_309052,RNA viruses,Vira,Picornavirales,Comoviridae,Comovirus,RaMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-13-2013_NODE_1_length_3854_cov_7_991792,RNA viruses,Vira,Picornavirales,Comoviridae,Comovirus,RaMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-13-2013_NODE_24_length_893_cov_2_776961,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-13-2013_NODE_2_length_2559_cov_11_994359,RNA viruses,Vira,Picornavirales,Comoviridae,Comovirus,RaMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-13-2013_NODE_9_length_1838_cov_5_488927,RNA viruses,Vira,Picornavirales,Comoviridae,Comovirus,RaMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-14-2013_NODE_11_length_2318_cov_84_888889,RNA viruses,Vira,Articulavirales,Orthomyxoviridae,Thogoto-like viruses,Dhori thogotovirus,Unclassified,Negarnaviricota,Polyploviricotina,Insthoviricetes
BeeP-14-2013_NODE_12_length_2259_cov_16_684235,RNA viruses,Vira,Unclassified,Tombusviridae,Alphacarmovirus,Pelargonium flower break carmovirus,Procedovirinae,Unclassified,Unclassified,Unclassified
BeeP-14-2013_NODE_29_length_1247_cov_3_780342,unclassified Totivirus,Vira,Unclassified,Totiviridae,Totivirus,Black raspberry fungal virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-14-2013_NODE_70_length_608_cov_4_625235,RNA viruses,Vira,Unclassified,Tombusviridae,Alphacarmovirus,Pelargonium flower break carmovirus,Procedovirinae,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_104_length_1506_cov_3_542337,RNA viruses,Vira,Tymovirales,Alphaflexiviridae,Potexvirus,Actinidia virus X,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_327_length_827_cov_2_773333,Raphanus sativas chrysovirus 1,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Raphanus sativus chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_339_length_814_cov_1_590231,RNA viruses,Vira,Mononegavirales,Rhabdoviridae,Varicosavirus,Lettuce big vein virus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-16-2013_NODE_345_length_796_cov_5_233658,RNA viruses,Vira,Unclassified,Virgaviridae,Tobamoviridae,Ribgrass mosaic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_354_length_787_cov_2_115493,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,CLRV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_400_length_738_cov_2_261725,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,Unclassified,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_435_length_703_cov_2_321086,unclassified Densovirinae,Vira,Unclassified,Parvoviridae,Unclassified,Fresh Meadows densovirus 1,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_474_length_664_cov_1_919932,RNA viruses,Vira,Unclassified,Virgaviridae,Tobamoviridae,Ribgrass mosaic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_500_length_643_cov_1_743816,unclassified Rhabdoviridae,Vira,Mononegavirales,Rhabdoviridae,Unclassified,Red clover varicosavirus,Unclassified,Negarnaviricota,Haploviricotina,Monjiviricetes
BeeP-16-2013_NODE_65_length_1870_cov_5_779141,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Water beetle associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-16-2013_NODE_71_length_1841_cov_10_410431,RNA viruses,Vira,Unclassified,Virgaviridae,Tobamoviridae,Ribgrass mosaic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_110_length_1660_cov_8_015793,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Vicia cryptic virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_134_length_1483_cov_21_850640,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Beet cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_146_length_1418_cov_4_621924,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_160_length_1328_cov_19_717826,RNA viruses,Vira,Unclassified,Partitiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_27_length_4512_cov_52_395490,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Diaphorina citri densovirus,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_286_length_869_cov_0_948232,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Red clover cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_302_length_834_cov_1_803170,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei tick virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_338_length_780_cov_1_362731,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_411_length_691_cov_1_363192,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_501_length_599_cov_4_919540,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Dill cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_597_length_536_cov_2_352941,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_608_length_532_cov_3_472527,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_61_length_2338_cov_2_639098,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 61,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-17-2013_NODE_629_length_520_cov_0_781038,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Raphanus sativus cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-18-2013_NODE_171_length_663_cov_2_155290,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Bundaberg bee virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-18-2013_NODE_196_length_622_cov_3_196330,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Bundaberg bee virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-18-2013_NODE_1_length_8869_cov_1485_314377,RNA viruses,Vira,Picornavirales,Iflaviridae,Infectious flachery-like viruses,Sac brood virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-18-2013_NODE_216_length_584_cov_1_757396,RNA viruses,Vira,Unclassified,Virgaviridae,Tobravirus,TRV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-18-2013_NODE_40_length_1590_cov_3_234633,RNA viruses,Vira,Unclassified,Virgaviridae,Tobravirus,TRV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-18-2013_NODE_52_length_1362_cov_2_560311,unclassified Picornavirales,Vira,Picornavirales,Unclassified,Unclassified,Bundaberg bee virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_12_length_1212_cov_8_262555,unclassified Tymovirus,Vira,Tymovirales,Tymoviridae,Tymovirus,Watercress white vein virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_14_length_1090_cov_2_844028,RNA viruses,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_17_length_984_cov_5_364939,RNA viruses,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_22_length_822_cov_8_475168,RNA viruses,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_23_length_813_cov_4_389946,L-A-lus virus,Vira,Unclassified,Totiviridae,Totivirus,L-A virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_24_length_804_cov_2_203576,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Saccharomyces kudriavzevii virus L-A1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_27_length_781_cov_3_590909,unclassified Fabavirus,Vira,Picornavirales,Comoviridae,Fabavirus,PLPaV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_2_length_1967_cov_11_406878,unclassified Tymovirus,Vira,Tymovirales,Tymoviridae,Tymovirus,Watercress white vein virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_34_length_683_cov_5_019802,unclassified Fabavirus,Vira,Picornavirales,Comoviridae,Fabavirus,Cherry virus F,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_42_length_612_cov_4_263551,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,L-A virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_44_length_603_cov_6_515209,unclassified Tymovirus,Vira,Tymovirales,Tymoviridae,Tymovirus,Watercress white vein virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_45_length_601_cov_4_454198,RNA viruses,Vira,Picornavirales,Comoviridae,Fabavirus,Grapevine fabavirus,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_48_length_569_cov_2_823171,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Saccharomyces kudriavzevii virus L-A-1082,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_54_length_516_cov_2_423690,environmental samples,Vira,Unclassified,Unclassified,Unclassified,uncultured virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_58_length_503_cov_15_093897,RNA viruses,Vira,Picornavirales,Comoviridae,Fabavirus,Unclassified,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-19-2013_NODE_7_length_1574_cov_8_709419,unclassified Tymovirus,Vira,Tymovirales,Tymoviridae,Tymovirus,Watercress white vein virus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_2_length_3416_cov_21_094639,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_30_length_927_cov_6_317647,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_31_length_925_cov_5_258255,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_56_length_682_cov_3_214876,RNA viruses,Vira,Unclassified,Chrysoviridae,Alphachrysovirus,Persea americana chrysovirus,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_73_length_598_cov_3_403071,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,Pepper cryptic virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_74_length_597_cov_5_338462,RNA viruses,Vira,Picornavirales,Comoviridae,Nepovirus,AMV,Comovirinae,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_80_length_584_cov_3_986193,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-20-2013_NODE_9_length_1515_cov_14_501391,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Pittosporum cryptic virus-1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-22-2013_NODE_16_length_874_cov_6_227102,RNA viruses,Vira,Unclassified,Virgaviridae,Tobravirus,TRV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-22-2013_NODE_40_length_592_cov_2_267961,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Beihai picorna-like virus 48,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-22-2013_NODE_53_length_511_cov_1_027650,RNA viruses,Vira,Unclassified,Virgaviridae,Tobravirus,TRV,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-22-2013_NODE_7_length_1498_cov_10848_009852,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei partiti-like virus 51,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-23-2013_NODE_20_length_833_cov_4_002646,unclassified Totiviridae,Vira,Unclassified,Totiviridae,Unclassified,Panax notoginseng virus A,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-24-2013_NODE_10_length_1358_cov_146_670570,unclassified Alphacryptovirus,Vira,Unclassified,Partitiviridae,Unclassified,Vespa velutina partiti-like virus 2,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_100_length_3004_cov_97_247322,ssDNA nonenveloped viruses,Vira,Unclassified,Unclassified,Unclassified,Water beetle associated circular virus 1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1076_length_961_cov_7_199095,RNA viruses,Vira,Unclassified,Partitiviridae,Alphacryptovirus,WCCV-1,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1257_length_909_cov_3_150240,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,Scheffersomyces segobiensis virus L,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1274_length_906_cov_2_746683,unclassified RNA viruses ShiM-2016,Vira,Unclassified,Unclassified,Unclassified,Hubei picorna-like virus 15,Unclassified,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1290_length_901_cov_9_294903,unclassified Densovirus,Vira,Unclassified,Parvoviridae,Ambidensovirus,Ambidensovirus sp.,Densovirinae,Unclassified,Unclassified,Unclassified
BeeP-25-2013_NODE_1330_length_891_cov_4_984029,RNA viruses,Vira,Unclassified,Totiviridae,Totivirus,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
