SRR3124654.Contig_70926_4371.28_length_608	608
SRR3124654.Contig_71162_104.323_length_633	633
SRR3124654.Contig_71993_6921.04_length_1838	1838
SRR3136701.Contig_22283_88.6065_length_724	724
SRR3137014.Contig_6036_133.478_length_522	522
SRR3137621.Contig_5606_12.1919_length_562	562
SRR3137621.Contig_18767_11.5952_length_850	850
SRR3137621.Contig_23633_109.974_length_988	988
SRR3138109.Contig_795_102.87_length_1025	1025
SRR3138109.Contig_14571_203.145_length_710	710
SRR3138111.Contig_6777_127.523_length_620	620
SRR3138124.Contig_4678_89.5582_length_776	776
SRR3138154.Contig_28790_61.5553_length_1059	1059
SRR3138158.Contig_23604_73.4685_length_925	925
SRR3138497.Contig_21449_9.37471_length_1293	1293
SRR3138503.Contig_7643_75.0202_length_712	712
SRR3141276.Contig_15928_473.694_length_911	911
SRR3141280.Contig_7699_9.53981_length_1050	1050
SRR3141494.Contig_9106_532.211_length_5545	5545
SRR3141494.Contig_17741_41.3574_length_5316	5316
SRR3144557.Contig_11503_4.70638_length_616	616
SRR3144558.Contig_13303_4.13985_length_685	685
SRR3144561.Contig_4293_8.1044_length_633	633
SRR3144561.Contig_32999_5.95181_length_518	518
SRR3144566.Contig_9400_6.49595_length_885	885
SRR3154957.Contig_1064_25527.9_length_757	757
SRR3154957.Contig_14469_63786.4_length_570	570
SRR3154957.Contig_25653_1736.22_length_534	534
SRR3154957.Contig_26600_8.3375_length_660	660
SRR3155197.Contig_1222_16873.9_length_629	629
SRR3155197.Contig_3368_72543.3_length_1310	1310
SRR3155197.Contig_10833_26417.2_length_2256	2256
SRR3155197.Contig_29912_34630.8_length_919	919
SRR3155344.Contig_2724_19502.1_length_645	645
SRR3155344.Contig_13132_30108.3_length_812	812
SRR3155344.Contig_13178_31588.6_length_2494	2494
SRR3155344.Contig_18268_45303.5_length_770	770
SRR3155345.Contig_545_54491.9_length_1793	1793
SRR3155345.Contig_3791_3.10959_length_531	531
SRR3155345.Contig_6379_1.36017_length_1225	1225
SRR3155345.Contig_11339_1.78364_length_1328	1328
SRR3155345.Contig_15118_15127.3_length_1275	1275
SRR3155345.Contig_16275_1.87106_length_2432	2432
SRR3155345.Contig_19396_3.8126_length_1909	1909
SRR3155549.Contig_4464_16455.4_length_591	591
SRR3155549.Contig_8863_21530.9_length_1326	1326
SRR3155549.Contig_22729_18774.8_length_6311	6311
SRR3155724.Contig_13124_60783.4_length_1012	1012
SRR3155724.Contig_15472_75728.8_length_724	724
SRR3155724.Contig_23918_47385.9_length_725	725
SRR3155866.Contig_1554_4.87988_length_994	994
SRR3155866.Contig_3080_1.3199_length_1211	1211
SRR3155866.Contig_6326_1.975_length_1100	1100
SRR3155866.Contig_6694_0.931064_length_1195	1195
SRR3155866.Contig_7936_1.96313_length_1105	1105
SRR3155866.Contig_8474_2.53714_length_720	720
SRR3155866.Contig_10268_26425.4_length_1649	1649
SRR3155866.Contig_11042_63434.5_length_649	649
SRR3155866.Contig_11761_4.0595_length_1331	1331
SRR3155866.Contig_14855_20545.7_length_688	688
SRR3155866.Contig_17286_0.426571_length_2805	2805
SRR3155866.Contig_17812_66492.2_length_639	639
SRR3155866.Contig_18256_2.11002_length_938	938
SRR3155866.Contig_21454_44297.8_length_1465	1465
SRR3155866.Contig_23238_23141.6_length_577	577
SRR3155867.Contig_854_11938.6_length_1495	1495
SRR3155867.Contig_8760_19545.4_length_596	596
SRR3155867.Contig_12834_17443_length_3064	3064
SRR3155867.Contig_15185_43077.2_length_1170	1170
SRR3155867.Contig_23556_23869.1_length_1909	1909
SRR3155892.Contig_1594_7.53391_length_595	595
SRR3155915.Contig_11109_10690_length_557	557
SRR3155915.Contig_19712_10920.5_length_1358	1358
SRR3155915.Contig_19986_23349.6_length_748	748
SRR3156029.Contig_2661_28748.2_length_1636	1636
SRR3156031.Contig_9520_2137.37_length_574	574
SRR3156031.Contig_16934_6986.13_length_2245	2245
SRR3156031.Contig_24311_14603.3_length_684	684
SRR3156032.Contig_12685_14485.9_length_2336	2336
SRR3156032.Contig_15405_16796.3_length_2394	2394
SRR3156033.Contig_2428_9.18812_length_828	828
SRR3156033.Contig_12929_87882.4_length_581	581
SRR3156035.Contig_6627_85140_length_1072	1072
SRR3156035.Contig_7886_23778.3_length_1084	1084
SRR3156035.Contig_8197_38153.1_length_3111	3111
SRR3156035.Contig_11635_58532_length_1309	1309
SRR3156035.Contig_16704_14844_length_3941	3941
SRR3156035.Contig_22387_20072.9_length_626	626
SRR3156036.Contig_10829_25273.5_length_687	687
SRR3156036.Contig_17555_47793_length_2875	2875
SRR3156036.Contig_26262_46301.9_length_795	795
SRR3156037.Contig_589_34.1995_length_847	847
SRR3156037.Contig_1029_12186_length_3630	3630
SRR3156037.Contig_1853_51390.8_length_3829	3829
SRR3156037.Contig_4780_53.8014_length_1032	1032
SRR3156037.Contig_6116_10748.2_length_1714	1714
SRR3156037.Contig_6625_10937.7_length_669	669
SRR3156037.Contig_15161_11202.7_length_1020	1020
SRR3156037.Contig_17129_14484.8_length_2439	2439
SRR3156037.Contig_17157_2620.6_length_575	575
SRR3156037.Contig_18556_741.023_length_1036	1036
SRR3156037.Contig_20290_73505.9_length_2095	2095
SRR3156037.Contig_20445_18121.7_length_2718	2718
SRR3156037.Contig_23026_34898.1_length_3665	3665
SRR3156037.Contig_23586_11410.1_length_3634	3634
SRR3156037.Contig_24296_13266.1_length_2628	2628
SRR3156037.Contig_25122_3369.69_length_945	945
SRR3156039.Contig_5857_2.49372_length_1134	1134
SRR3156039.Contig_9676_21.6743_length_1632	1632
SRR3156041.Contig_20950_27563.6_length_4258	4258
SRR3156043.Contig_814_24075.3_length_2393	2393
SRR3156043.Contig_17035_15568.5_length_783	783
SRR3156043.Contig_20664_37222.3_length_579	579
SRR3156045.Contig_5310_5.88957_length_509	509
SRR3156045.Contig_17280_34942.2_length_5069	5069
SRR3156046.Contig_5041_4067.62_length_574	574
SRR3156046.Contig_19792_41464.5_length_2364	2364
SRR3156047.Contig_3998_35959.1_length_2279	2279
SRR3156047.Contig_21526_11327.6_length_8432	8432
SRR3156048.Contig_1001_13858_length_964	964
SRR3156049.Contig_8091_24164_length_958	958
SRR3156049.Contig_19125_1728.84_length_4978	4978
SRR3156049.Contig_20889_17117.5_length_635	635
SRR3156049.Contig_23977_1793.83_length_1322	1322
SRR329385.Contig_1596_24.0444_length_2429	2429
SRR329385.Contig_3661_24.0211_length_2248	2248
SRR329385.Contig_5301_56.6678_length_613	613
SRR329385.Contig_6754_144.275_length_733	733
SRR329385.Contig_17055_59.1075_length_2635	2635
SRR329385.Contig_20141_55.053_length_1510	1510
SRR329385.Contig_22394_40.8443_length_1510	1510
SRR329385.Contig_24401_37.3597_length_551	551
SRR329386.Contig_1604_39.6319_length_1495	1495
SRR329386.Contig_2318_6.09738_length_1355	1355
SRR329386.Contig_3559_29.6962_length_1715	1715
SRR329386.Contig_4434_22.1287_length_1318	1318
SRR329386.Contig_6449_92.9958_length_1224	1224
SRR329386.Contig_6859_45.0956_length_3526	3526
SRR329386.Contig_17917_33.3058_length_625	625
SRR329386.Contig_20482_33.4933_length_843	843
SRR329386.Contig_26151_58.1305_length_1039	1039
SRR329386.Contig_28031_52.8639_length_2062	2062
SRR329386.Contig_44121_53.1609_length_542	542
SRR3756975.Contig_6568_206.838_length_731	731
SRR3756979.Contig_10812_182.832_length_2310	2310
SRR3756979.Contig_19113_12.6305_length_1273	1273
SRR3756979.Contig_25801_4.05511_length_764	764
SRR3927497.Contig_884_17753.4_length_878	878
SRR3927497.Contig_1093_31011.5_length_608	608
SRR3927497.Contig_2149_7.81732_length_2456	2456
SRR3927497.Contig_2565_8.2749_length_522	522
SRR3927497.Contig_4033_5181.47_length_719	719
SRR3927497.Contig_4654_9.30297_length_525	525
SRR3927497.Contig_4919_13196.9_length_1007	1007
SRR3927497.Contig_4924_5204.81_length_1400	1400
SRR3927497.Contig_5017_14.9343_length_812	812
SRR3927497.Contig_5421_23.0188_length_604	604
SRR3927497.Contig_6309_9373.65_length_962	962
SRR3927497.Contig_6311_6.57503_length_933	933
SRR3927497.Contig_6333_17451_length_846	846
SRR3927497.Contig_6418_10.5255_length_705	705
SRR3927497.Contig_6660_6.26609_length_1061	1061
SRR3927497.Contig_6724_36.1657_length_2845	2845
SRR3927497.Contig_7144_7592_length_1061	1061
SRR3927497.Contig_8170_16898.9_length_548	548
SRR3927497.Contig_8984_20114.6_length_901	901
SRR3927497.Contig_11116_45.7284_length_1073	1073
SRR3927497.Contig_11284_33.3161_length_640	640
SRR3927497.Contig_12160_90976.2_length_1906	1906
SRR3927497.Contig_12822_109.738_length_1491	1491
SRR3927497.Contig_13454_7.68541_length_1638	1638
SRR3927497.Contig_14109_9289.25_length_577	577
SRR3927497.Contig_16339_11090.9_length_3146	3146
SRR3927497.Contig_17137_3.94619_length_782	782
SRR3927497.Contig_18109_17877.6_length_972	972
SRR3927497.Contig_18490_9.03383_length_818	818
SRR3927497.Contig_18728_39667.8_length_1004	1004
SRR3927497.Contig_19138_162546_length_1429	1429
SRR3927497.Contig_19408_7655.08_length_2520	2520
SRR3927497.Contig_21942_51.3304_length_1745	1745
SRR3927497.Contig_23629_7409.35_length_2710	2710
SRR3927497.Contig_23675_6564.48_length_3089	3089
SRR3927497.Contig_24924_21805.3_length_710	710
SRR3927497.Contig_25745_8.04317_length_715	715
SRR3927497.Contig_26785_17383.2_length_656	656
SRR3927497.Contig_27788_820.21_length_586	586
SRR3927497.Contig_29565_5.45946_length_612	612
SRR3927501.Contig_20_4621.33_length_5753	5753
SRR3927501.Contig_43_17315.6_length_567	567
SRR3927501.Contig_44_15842.3_length_616	616
SRR3927501.Contig_67_5821.25_length_1136	1136
SRR3927501.Contig_68_6432.61_length_1217	1217
SRR3927501.Contig_124_27843.5_length_1068	1068
SRR3927501.Contig_130_15416.7_length_1087	1087
SRR3927501.Contig_207_5940.04_length_1371	1371
SRR3927501.Contig_213_6236.55_length_610	610
SRR3927501.Contig_226_656.281_length_658	658
SRR3927501.Contig_242_566.935_length_2070	2070
SRR3927501.Contig_257_4949.45_length_685	685
SRR3927501.Contig_271_14971.3_length_3286	3286
SRR3927501.Contig_371_20598.4_length_830	830
SRR3927501.Contig_385_1267.56_length_671	671
SRR3927501.Contig_394_6558.72_length_533	533
SRR3927501.Contig_401_26493.7_length_787	787
SRR3927501.Contig_422_25370.1_length_515	515
SRR3927501.Contig_436_24761.9_length_674	674
SRR3927501.Contig_449_1319.8_length_1116	1116
SRR3927501.Contig_465_5605.44_length_2440	2440
SRR3927501.Contig_517_4872.52_length_702	702
SRR3927501.Contig_546_19047_length_2154	2154
SRR3927501.Contig_559_1074.57_length_1022	1022
SRR3927501.Contig_583_9854.26_length_2428	2428
SRR3927501.Contig_619_1372.08_length_773	773
SRR3927501.Contig_620_21923_length_833	833
SRR3927501.Contig_648_562.586_length_1924	1924
SRR3927501.Contig_660_5264.49_length_4208	4208
SRR3927501.Contig_661_4402.53_length_782	782
SRR3948523.Contig_17121_7.6778_length_619	619
SRR3948524.Contig_4162_5.90272_length_534	534
SRR3948530.Contig_31132_9.00896_length_578	578
SRR3948533.Contig_3088_23.6526_length_1272	1272
SRR3948533.Contig_3800_6.57003_length_634	634
SRR3948538.Contig_6071_72.2541_length_693	693
SRR3948540.Contig_4112_11.8469_length_1261	1261
SRR3948546.Contig_11442_15.0524_length_592	592
SRR3948546.Contig_18490_8.16068_length_549	549
SRR3948556.Contig_13181_13.0823_length_1357	1357
SRR3948559.Contig_9614_16.3631_length_579	579
SRR3948559.Contig_23435_6.10189_length_550	550
SRR3948563.Contig_25984_7.25522_length_690	690
SRR3948566.Contig_15067_4.24901_length_526	526
SRR3948566.Contig_16319_6.28_length_545	545
SRR3948566.Contig_24912_5.92321_length_580	580
SRR3948568.Contig_4802_14471_length_3049	3049
SRR3948570.Contig_11998_7.76135_length_791	791
SRR3948572.Contig_8797_7.05695_length_1056	1056
SRR3948574.Contig_28866_11.6236_length_1723	1723
SRR3948577.Contig_16000_10.4122_length_760	760
SRR3948577.Contig_22253_15.1885_length_1654	1654
SRR3993646.Contig_1151_53.7144_length_4478	4478
SRR3993646.Contig_1815_47.1268_length_856	856
SRR3993646.Contig_2529_53.7825_length_2071	2071
SRR3993646.Contig_3351_16.091_length_1284	1284
SRR3993646.Contig_4218_61.3183_length_2345	2345
SRR3993646.Contig_6287_28.7349_length_1944	1944
SRR3993646.Contig_6972_25.62_length_2215	2215
SRR3993646.Contig_8178_10.6565_length_512	512
SRR3993646.Contig_8685_139.56_length_913	913
SRR3993646.Contig_11453_274.466_length_591	591
SRR3993646.Contig_11503_22.8622_length_2045	2045
SRR3993646.Contig_12126_31.2724_length_2806	2806
SRR3993646.Contig_13203_43.5379_length_561	561
SRR3993646.Contig_13619_35.255_length_2695	2695
SRR3993646.Contig_13713_6.86314_length_663	663
SRR3993646.Contig_15671_57.1071_length_2383	2383
SRR3993646.Contig_23554_31.1794_length_912	912
SRR3993646.Contig_23555_16.765_length_4483	4483
SRR3993646.Contig_23916_17.7018_length_4369	4369
SRR3993646.Contig_24362_5.41818_length_515	515
SRR3993646.Contig_24824_32.632_length_3504	3504
SRR3993646.Contig_26341_8.76389_length_740	740
SRR3993646.Contig_30687_38.6892_length_1793	1793
SRR3993646.Contig_31022_23.612_length_1216	1216
SRR3993646.Contig_31112_68.2156_length_660	660
SRR3993646.Contig_31375_22.3202_length_2993	2993
SRR3993646.Contig_33257_17.7358_length_1428	1428
SRR3993646.Contig_37174_100.487_length_3688	3688
SRR4002869.Contig_732_916.505_length_1574	1574
SRR4002869.Contig_2279_1411.29_length_1275	1275
SRR4002869.Contig_7975_10.2027_length_538	538
SRR4002869.Contig_8283_21051.4_length_2825	2825
SRR4002871.Contig_4458_774.651_length_1938	1938
SRR4002871.Contig_5500_4724.6_length_2088	2088
SRR4002872.Contig_8453_143943_length_572	572
SRR4002872.Contig_16273_151827_length_596	596
SRR4002873.Contig_5445_48.3356_length_2070	2070
SRR4002873.Contig_11312_12.0787_length_541	541
SRR4002873.Contig_11849_24.2882_length_1179	1179
SRR4002873.Contig_14093_41.9396_length_2006	2006
SRR4002874.Contig_16302_122424_length_1205	1205
SRR4002875.Contig_1152_96448.7_length_3760	3760
SRR4002876.Contig_2298_23804.2_length_2057	2057
SRR4002876.Contig_8399_1313.61_length_2869	2869
SRR4002876.Contig_14023_108864_length_1676	1676
SRR4002877.Contig_1713_8.26825_length_650	650
SRR4002881.Contig_627_27.7943_length_1036	1036
SRR4002881.Contig_5343_60.9161_length_1760	1760
SRR4002881.Contig_5543_54.4927_length_777	777
SRR4002881.Contig_5841_14.3053_length_508	508
SRR4002881.Contig_7848_14.9512_length_635	635
SRR4002881.Contig_9224_23.7471_length_716	716
SRR4002881.Contig_10239_11.2956_length_815	815
SRR4002881.Contig_14975_11.235_length_620	620
SRR4002890.Contig_1043_1171.82_length_1135	1135
SRR4002890.Contig_1248_2795.25_length_1106	1106
SRR4002890.Contig_2051_222587_length_554	554
SRR4002890.Contig_3494_278.024_length_733	733
SRR4002890.Contig_4835_28617.3_length_932	932
SRR4002890.Contig_5785_691.72_length_720	720
SRR4002890.Contig_8633_47954.2_length_530	530
SRR4002891.Contig_10051_86.6183_length_599	599
SRR4002891.Contig_19048_57.8524_length_1694	1694
SRR4002891.Contig_24128_62.271_length_994	994
SRR4002894.Contig_5803_1408.85_length_845	845
SRR4002894.Contig_7940_34247.9_length_863	863
SRR4002894.Contig_9600_2212.39_length_804	804
SRR4002894.Contig_10681_94101_length_842	842
SRR4002894.Contig_10882_218878_length_779	779
SRR4002895.Contig_6549_24640.8_length_608	608
SRR4002896.Contig_156_10.7074_length_560	560
SRR4002896.Contig_2786_28464.5_length_611	611
SRR4002896.Contig_8362_15.5645_length_927	927
SRR4002896.Contig_10581_2292.58_length_824	824
SRR4002896.Contig_13039_45.4224_length_600	600
SRR4002897.Contig_1440_286.739_length_779	779
SRR4002897.Contig_12722_7922.52_length_3210	3210
SRR4002897.Contig_25503_107649_length_1121	1121
SRR4002898.Contig_3891_7.96289_length_505	505
SRR4013500.Contig_6481_26.7591_length_1979	1979
SRR4013500.Contig_8062_65.3998_length_1173	1173
SRR4013500.Contig_11761_26.7101_length_2638	2638
SRR4013500.Contig_35246_12.9504_length_584	584
SRR4013500.Contig_35935_1395.48_length_10118	10118
SRR4013500.Contig_38419_10.8123_length_4490	4490
SRR4013500.Contig_40797_74.9418_length_1274	1274
SRR4013514.Contig_6472_12.2039_length_4262	4262
SRR4013514.Contig_39149_6.29692_length_798	798
SRR4013514.Contig_39595_47.5855_length_8649	8649
SRR4013516.Contig_1725_1461.2_length_884	884
SRR4013516.Contig_2730_17.7311_length_749	749
SRR4013516.Contig_10980_61.3893_length_1746	1746
SRR4013516.Contig_11961_19.6796_length_2155	2155
SRR4013516.Contig_13640_84.7275_length_1411	1411
SRR4013516.Contig_14887_4563.27_length_10117	10117
SRR4013516.Contig_19316_30.3719_length_789	789
SRR4013516.Contig_20250_3034.39_length_518	518
SRR4013516.Contig_34116_551.674_length_895	895
SRR4013517.Contig_19821_37.8069_length_10983	10983
SRR4013517.Contig_20083_121.374_length_2094	2094
SRR4013521.Contig_23908_4.36351_length_727	727
SRR4017752.Contig_11613_51.3565_length_4791	4791
SRR4017753.Contig_15036_33495.4_length_2053	2053
SRR4017754.Contig_19291_98591.6_length_527	527
SRR4017754.Contig_20136_25049.3_length_1007	1007
SRR4017757.Contig_5250_2519.58_length_666	666
SRR4017757.Contig_17654_61047.6_length_797	797
SRR4017759.Contig_5022_14415.9_length_666	666
SRR4017764.Contig_13948_178174_length_635	635
SRR4017764.Contig_25448_54058.4_length_663	663
SRR4017764.Contig_32161_62968.4_length_731	731
SRR4017765.Contig_12728_1315.22_length_1587	1587
SRR4017765.Contig_14535_185.699_length_7554	7554
SRR4017765.Contig_36810_1493.55_length_748	748
SRR4017765.Contig_37299_971.848_length_1376	1376
SRR4017766.Contig_32875_11317.9_length_1918	1918
SRR4017767.Contig_24548_65507.8_length_7429	7429
SRR4017769.Contig_7385_106943_length_1708	1708
SRR4017769.Contig_35890_269558_length_707	707
SRR4017771.Contig_15303_2164.76_length_807	807
SRR4017772.Contig_14922_4037.56_length_2367	2367
SRR4017772.Contig_30604_68320.2_length_841	841
SRR4017774.Contig_6920_4897.48_length_926	926
SRR4017774.Contig_9007_8056.28_length_630	630
SRR4017774.Contig_11486_23824.6_length_1175	1175
SRR4017774.Contig_15246_271.098_length_2969	2969
SRR4017774.Contig_22572_1057.32_length_1144	1144
SRR4017774.Contig_30687_1226.81_length_1408	1408
SRR4017774.Contig_36890_305.678_length_3324	3324
SRR4017774.Contig_39716_3503.7_length_1524	1524
SRR4017775.Contig_2849_53.6531_length_1640	1640
SRR4017775.Contig_4736_108.919_length_515	515
SRR4017775.Contig_14603_239.644_length_543	543
SRR4017775.Contig_26419_46.1429_length_538	538
SRR4017775.Contig_38141_201.177_length_507	507
SRR4017776.Contig_14644_25.0789_length_780	780
SRR4017776.Contig_30122_71.5751_length_719	719
SRR4017776.Contig_32263_25.2174_length_710	710
SRR4017779.Contig_44080_67.0679_length_1331	1331
SRR4017780.Contig_35539_35.7671_length_1527	1527
SRR4017781.Contig_37510_113.566_length_2777	2777
SRR4017782.Contig_35724_60.5542_length_518	518
SRR4017783.Contig_24491_220.714_length_596	596
SRR4017783.Contig_32373_47.9008_length_544	544
SRR4017784.Contig_34945_37.8491_length_2121	2121
SRR4017786.Contig_18709_3460_length_502	502
SRR4017786.Contig_36853_1356.81_length_3845	3845
SRR4017787.Contig_18791_49.611_length_1182	1182
SRR4017789.Contig_31984_40.3498_length_526	526
SRR4017789.Contig_41726_192.173_length_908	908
SRR4017791.Contig_2176_51.8939_length_821	821
SRR4017791.Contig_15556_24.4738_length_1339	1339
SRR4017791.Contig_26896_125.778_length_659	659
SRR4017792.Contig_23001_117.886_length_548	548
SRR4017792.Contig_32540_52.9487_length_1093	1093
SRR4017793.Contig_14153_25.7738_length_1819	1819
SRR4017794.Contig_24552_178.602_length_779	779
SRR4017795.Contig_31992_189.275_length_746	746
SRR4017795.Contig_35864_47.1312_length_523	523
SRR4017796.Contig_43606_16.3429_length_860	860
SRR4034898.Contig_1574_1555.59_length_654	654
SRR4034898.Contig_12676_17.4007_length_851	851
SRR4034898.Contig_30592_154.727_length_862	862
SRR4034898.Contig_44569_254706_length_4451	4451
SRR4034898.Contig_48167_679.735_length_621	621
SRR4034898.Contig_52886_83445.2_length_1524	1524
SRR4034898.Contig_56799_28.9618_length_1747	1747
SRR4034898.Contig_66315_204.099_length_11808	11808
SRR4034898.Contig_69117_1.13727e+06_length_3480	3480
SRR4041814.Contig_172_11.0636_length_1120	1120
SRR4041814.Contig_4598_77.7092_length_2042	2042
SRR4041814.Contig_9874_11.944_length_1163	1163
SRR4041814.Contig_10849_2560.05_length_1776	1776
SRR4041814.Contig_11753_14.4119_length_1268	1268
SRR4041814.Contig_18651_15.9088_length_766	766
SRR4041814.Contig_25455_18.1947_length_657	657
SRR4041814.Contig_35064_34.4811_length_1610	1610
SRR4041816.Contig_11079_2344.27_length_3447	3447
SRR4041816.Contig_11609_16.0953_length_744	744
SRR4041816.Contig_27877_21.4677_length_1643	1643
SRR4041816.Contig_30686_26.6521_length_2512	2512
SRR4041816.Contig_32509_29.7833_length_3911	3911
SRR4045687.Contig_10527_12379.4_length_578	578
SRR4045687.Contig_10528_19344.1_length_578	578
SRR4045695.Contig_33022_5370.66_length_1197	1197
SRR4045695.Contig_33023_2796.53_length_1197	1197
SRR4045715.Contig_14098_5578.14_length_4682	4682
SRR4045716.Contig_11021_146.557_length_2012	2012
SRR4045716.Contig_24987_103.747_length_542	542
SRR4045716.Contig_27419_104.085_length_572	572
SRR4045744.Contig_7219_178.751_length_1242	1242
SRR4045744.Contig_7865_185.29_length_735	735
SRR4045744.Contig_10367_720.711_length_955	955
SRR4045744.Contig_11394_152.935_length_972	972
SRR4045744.Contig_19117_154.882_length_1065	1065
SRR4045744.Contig_22864_156.133_length_869	869
SRR4045764.Contig_28287_21113.9_length_5642	5642
SRR4045778.Contig_732_1173.51_length_929	929
SRR4045778.Contig_4938_199.986_length_1085	1085
SRR4045778.Contig_6361_261.037_length_1019	1019
SRR4045778.Contig_10502_2038.26_length_745	745
SRR4045804.Contig_25943_3606.32_length_1457	1457
SRR4045804.Contig_31570_2542.51_length_993	993
SRR4045850.Contig_19021_15805.7_length_10088	10088
SRR4063653.Contig_2316_16.7771_length_6925	6925
SRR4063653.Contig_70590_9.50747_length_1760	1760
SRR4063653.Contig_92147_5.75248_length_626	626
SRR4084087.Contig_11614_8927.32_length_9557	9557
SRR4084087.Contig_20821_5414.38_length_916	916
SRR4084087.Contig_21900_3401.51_length_707	707
SRR4084090.Contig_9683_851.01_length_976	976
SRR4084090.Contig_9684_1347.59_length_3648	3648
SRR4084090.Contig_13979_1266.44_length_671	671
SRR4084090.Contig_24755_1174.31_length_2210	2210
SRR4084090.Contig_32584_2205.96_length_2719	2719
SRR4096528.Contig_3595_163.49_length_4245	4245
SRR4096528.Contig_4450_139.5_length_1067	1067
SRR4096528.Contig_5892_73.8887_length_802	802
SRR4096528.Contig_10416_64.9058_length_551	551
SRR4096528.Contig_12647_188.428_length_861	861
SRR4096528.Contig_15497_61.6891_length_808	808
SRR4096528.Contig_15793_531.232_length_1526	1526
SRR4096528.Contig_15813_1300_length_3897	3897
SRR4096528.Contig_16298_186.948_length_1627	1627
SRR4096528.Contig_18046_309.494_length_4971	4971
SRR4096528.Contig_21160_67.3746_length_714	714
SRR4096528.Contig_24950_78.7862_length_600	600
SRR4096528.Contig_26135_51.9828_length_892	892
SRR4096528.Contig_26614_99.873_length_587	587
SRR4096528.Contig_27196_133.638_length_3641	3641
SRR4096528.Contig_27312_380.603_length_3142	3142
SRR4096528.Contig_27403_135.941_length_958	958
SRR4096528.Contig_27814_225.582_length_1954	1954
SRR4096528.Contig_29942_75.9283_length_1178	1178
SRR4096528.Contig_34804_121.472_length_5008	5008
SRR4096528.Contig_36184_76.5912_length_881	881
SRR4096528.Contig_39255_65.7292_length_526	526
SRR4096528.Contig_40598_71.5639_length_529	529
SRR4096528.Contig_42880_186.782_length_1563	1563
SRR4096528.Contig_43936_1249.2_length_1803	1803
SRR4096528.Contig_45463_165.262_length_2228	2228
SRR4096528.Contig_46237_58.0188_length_924	924
SRR4096528.Contig_46473_177.848_length_1968	1968
SRR4096528.Contig_47003_237.03_length_3149	3149
SRR4096528.Contig_47432_138.31_length_1827	1827
SRR4096528.Contig_54934_362.342_length_558	558
SRR4096528.Contig_55576_66.7659_length_964	964
SRR4096528.Contig_58263_223.714_length_1800	1800
SRR4096528.Contig_58319_52.9287_length_1563	1563
SRR4096528.Contig_62809_87.6583_length_1100	1100
SRR4096528.Contig_65767_58.3503_length_608	608
SRR4096528.Contig_66682_73.3917_length_1202	1202
SRR4096528.Contig_71116_291.67_length_769	769
SRR4096528.Contig_72291_118.12_length_5448	5448
SRR4096528.Contig_72507_134.17_length_638	638
SRR4096528.Contig_73297_84.5948_length_595	595
SRR4096528.Contig_73760_232.88_length_3392	3392
SRR4096528.Contig_73798_97.9802_length_1538	1538
SRR4096528.Contig_73899_74.2055_length_823	823
SRR4096528.Contig_74249_63.7692_length_1086	1086
SRR4096528.Contig_74295_207.163_length_4433	4433
SRR4096528.Contig_75216_102.004_length_2996	2996
SRR4096528.Contig_75563_180.386_length_1357	1357
SRR4096528.Contig_75738_151.112_length_4867	4867
SRR4096528.Contig_75972_125.293_length_1351	1351
SRR4096528.Contig_76562_195.788_length_1971	1971
SRR4096528.Contig_78050_352.036_length_2361	2361
SRR4096528.Contig_79174_121.178_length_1356	1356
SRR4096528.Contig_79467_241.813_length_3132	3132
SRR4096528.Contig_79515_51.6058_length_1788	1788
SRR4096528.Contig_79677_62.9437_length_1636	1636
SRR4096528.Contig_79830_42.6164_length_815	815
SRR4096528.Contig_81022_92.1837_length_657	657
SRR4096528.Contig_82811_81.8647_length_981	981
SRR4096528.Contig_84017_60.9943_length_2457	2457
SRR4096528.Contig_84131_86.1797_length_2536	2536
SRR4096528.Contig_88029_244.778_length_12128	12128
SRR4096528.Contig_88878_146.088_length_4557	4557
SRR4096528.Contig_92362_919.012_length_3471	3471
SRR4096528.Contig_92615_69.6667_length_590	590
SRR4096528.Contig_95422_634.037_length_3390	3390
SRR4096528.Contig_98126_91.4561_length_1068	1068
SRR4096528.Contig_100204_47.8839_length_649	649
SRR4096528.Contig_101837_30.6994_length_722	722
SRR4096528.Contig_103534_74.1236_length_9344	9344
SRR4096528.Contig_105532_95.827_length_2089	2089
SRR4096528.Contig_108994_47.5357_length_944	944
SRR4096528.Contig_111554_80.2243_length_564	564
SRR4096528.Contig_111871_100.367_length_3601	3601
SRR4096528.Contig_113052_138.415_length_7960	7960
SRR4096528.Contig_114386_79.0116_length_799	799
SRR4096528.Contig_116661_41.4495_length_2127	2127
SRR4096528.Contig_117032_106.848_length_2626	2626
SRR4096528.Contig_117570_694.018_length_2666	2666
SRR4096528.Contig_124036_55.2962_length_881	881
SRR4096528.Contig_125335_288.062_length_1780	1780
SRR4096528.Contig_125501_195.703_length_3210	3210
SRR4096528.Contig_128999_145.716_length_780	780
SRR4096528.Contig_129166_151.916_length_1329	1329
SRR4096528.Contig_129572_125.248_length_718	718
SRR4096528.Contig_130529_94.8844_length_1733	1733
SRR4096528.Contig_130875_103.195_length_687	687
SRR4096528.Contig_131108_230.19_length_3159	3159
SRR4096528.Contig_131356_63.4581_length_1869	1869
SRR4096528.Contig_131364_35.7321_length_677	677
SRR4096528.Contig_131574_112.029_length_2366	2366
SRR4096528.Contig_131669_166.603_length_1443	1443
